Date,Open,High,Low,Close,Adj Close,Volume
2000-01-03,146.332352,146.55748,141.839203,146.55748,91.201225,13858.0
2000-01-04,150.084457,151.960526,144.831512,149.868713,93.26178,48772.0
2000-01-05,141.642212,148.208405,140.910553,145.347427,90.448227,39710.0
2000-01-06,156.65065,156.65065,141.651596,146.08847,90.90937,24253.0
2000-01-07,144.456299,147.082779,137.890106,141.445221,88.019936,26651.0
2000-01-10,146.332352,147.27037,140.910553,141.463989,88.031578,32248.0
2000-01-11,140.328979,140.328979,130.395248,130.714188,81.342094,52503.0
2000-01-12,141.173203,141.173203,141.173203,141.173203,87.850632,2926.0
2000-01-13,149.896851,149.896851,140.704178,142.008041,88.37014,10719.0
2000-01-14,138.077698,138.828125,135.076019,136.239166,84.780251,10596.0
2000-01-17,136.952072,138.828125,135.094772,135.207336,84.138161,18634.0
2000-01-18,135.076019,135.076019,129.447845,130.854889,81.429649,18784.0
2000-01-19,139.578552,139.578552,131.323898,132.149368,82.235214,46944.0
2000-01-20,133.199966,135.826431,131.323898,132.158752,82.241035,76463.0
2000-01-21,134.137985,134.137985,129.072632,129.654221,80.682495,17238.0
2000-01-24,128.697433,131.136292,122.375114,123.707115,76.981682,21747.0
2000-01-25,122.318832,126.258553,114.4394,116.540588,72.522018,58543.0
2000-01-26,116.540588,116.540588,116.540588,116.540588,72.522018,0.0
2000-01-27,121.568413,123.444473,119.129539,123.209961,76.672295,16284.0
2000-01-28,123.613312,123.613312,118.003906,120.555344,75.020363,15244.0
2000-01-31,120.067566,120.067566,114.627007,115.236725,71.710648,17909.0
2000-02-01,115.00222,117.816299,112.750954,114.345596,71.156097,19983.0
2000-02-02,115.565033,119.129539,115.565033,117.666222,73.222496,19402.0
2000-02-03,118.191513,118.191513,114.814613,115.48999,71.868263,7494.0
2000-02-04,116.690666,116.690666,108.829994,112.976082,70.303871,21881.0
2000-02-07,114.064194,114.064194,110.687286,111.418953,69.334885,9978.0
2000-02-08,107.920105,111.62532,106.935181,107.263489,66.748978,23288.0
2000-02-09,110.31208,112.544586,107.310387,107.56366,66.935768,24162.0
2000-02-10,108.623627,108.811234,103.558281,105.931488,65.920105,13187.0
2000-02-11,106.935181,107.310387,100.200142,103.698982,64.530823,41805.0
2000-02-14,107.122787,110.687286,103.389435,104.57135,65.073677,15703.0
2000-02-15,100.556587,103.183067,96.2229,97.751884,60.829994,43484.0
2000-02-16,99.815544,105.434334,99.815544,102.967323,64.075516,12329.0
2000-02-17,104.121094,111.212585,103.183067,111.212585,69.206467,42301.0
2000-02-18,114.4394,115.358665,103.370674,110.462166,68.739471,25244.0
2000-02-21,112.563347,116.690666,112.563347,114.270554,71.109398,39609.0
2000-02-22,114.4394,114.814613,110.687286,112.225655,69.836899,31065.0
2000-02-23,116.596863,117.253487,115.00222,115.658836,71.973312,27174.0
2000-02-24,114.814613,124.907791,114.814613,116.709427,72.627083,36939.0
2000-02-25,118.191513,121.924866,107.873207,109.730499,68.284164,29098.0
2000-02-28,109.74926,114.4394,102.245041,113.989151,70.934288,24221.0
2000-02-29,117.253487,120.067566,104.871521,107.272865,66.754807,76650.0
2000-03-01,106.935181,108.060814,104.121094,106.25042,66.118576,20559.0
2000-03-02,108.811234,110.668533,97.761269,102.085571,63.526798,139079.0
2000-03-03,94.009155,101.307014,94.009155,94.234283,58.641018,20830.0
2000-03-06,97.554901,99.430954,86.861382,90.988708,56.621338,33096.0
2000-03-07,84.047295,94.553207,84.047295,89.103271,55.448051,23405.0
2000-03-08,90.425888,96.232285,90.425888,96.232285,59.884361,6289.0
2000-03-09,103.933487,103.933487,102.807854,103.933487,64.67675,13347.0
2000-03-10,101.307014,107.873207,101.307014,106.578728,66.322845,32120.0
2000-03-13,111.437714,112.93856,105.05912,105.434334,65.61071,24125.0
2000-03-14,105.434334,108.811234,101.307014,106.156616,66.060181,61933.0
